algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER,SHEER,1349,1364,8080,300,30935,93584,0.6694413574970081,0.33055864250299194,0.8404763044900956,0.7587640848582148,0.0007977260443784524,31014.356435643564,1.8996287128712872,3.7301063767091005,1.0,2720,19446,28,0,0,40514400,8080,42
ACTAR,ACTAR,843,1004,5959,300,30100,92182,0.6734720444338375,0.32652795556616254,0.8445443123610709,0.7623981472402854,0.0008049630677035549,41672.76388655815,2.0219835542876323,4.624258763648763,1.6252859121806642,2073,22790,25,0,0,39288600,5959,42
TFSM_DPC,TFSM_DPC,693,1175,6695,300,27813,87693,0.6828367144469912,0.31716328555300877,0.856563126252505,0.7790726353213371,0.0008343075687082237,35775.95220313667,2.0204630321135175,4.392843316338461,1.7357715430861724,2251,20001,27,0,0,37812200,6695,42
DST_WOA,DST_WOA,755,1658,6516,300,30583,96563,0.6832844878473121,0.3167155121526879,0.8790239466505001,0.7967905518812908,0.0007574272444133317,40503.37630448128,1.7840699815837937,6.411308062205855,1.2399818126705062,1636,17424,33,0,0,40976600,6516,42
TRAIL,TRAIL,560,1121,5323,884,30297,97975,0.690768053074764,0.30923194692523603,0.8946038594521115,0.8170834634103867,0.0007384586632701161,50857.03550629345,2.102761600601165,8.883454730711918,1.1083217589172256,1233,14457,40,0,0,41439800,5323,42
