algo,ratio,pdr_mean,pdr_std,pdr_n,pdr_ci95,pdr_cv,timely_overall_mean,timely_overall_std,timely_overall_n,timely_overall_ci95,timely_overall_cv,bits_per_joule_mean,bits_per_joule_std,bits_per_joule_n,bits_per_joule_ci95,bits_per_joule_cv,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_n,overhead_ratio_ci95,overhead_ratio_cv,pdr_rel_impr_pct_mean,pdr_rel_impr_pct_std,pdr_rel_impr_pct_n,pdr_rel_impr_pct_ci95,pdr_rel_impr_pct_cv,bpj_rel_impr_pct_mean,bpj_rel_impr_pct_std,bpj_rel_impr_pct_n,bpj_rel_impr_pct_ci95,bpj_rel_impr_pct_cv,overhead_rel_red_pct_mean,overhead_rel_red_pct_std,overhead_rel_red_pct_n,overhead_rel_red_pct_ci95,overhead_rel_red_pct_cv,FND_mean,FND_std,FND_n,FND_ci95,FND_cv,HND_mean,HND_std,HND_n,HND_ci95,HND_cv,LND_mean,LND_std,LND_n,LND_ci95,LND_cv
ACTAR,0.1,0.906516655852503,,1,,,0.8787507804561537,,1,,,1481.642140541658,,1,,,0.11588180479965428,,1,,,-0.2963193440891132,,1,,,-3.228852343658939,,1,,,1.4430470370179194,,1,,,787.0,,1,,,908.0,,1,,,4125.0,,1,,
ACTAR,0.2,0.8184959373562744,,1,,,0.7567602627451442,,1,,,1388.7132019113342,,1,,,0.13012275595769818,,1,,,-0.6945601692959436,,1,,,-2.717531288667918,,1,,,0.6412306774229881,,1,,,794.0,,1,,,918.0,,1,,,4382.0,,1,,
ACTAR,0.3,0.7506206640525303,,1,,,0.6640873338128496,,1,,,1294.6971196118664,,1,,,0.14471422830824396,,1,,,1.0190132395856866,,1,,,-1.7801646663650694,,1,,,1.650669399151239,,1,,,867.0,,1,,,984.0,,1,,,8089.0,,1,,
ACTAR,0.4,0.6734720444338375,,1,,,0.5687769846607799,,1,,,1242.293019545428,,1,,,0.15821252536967237,,1,,,0.6020970906099654,,1,,,-0.8990503559062168,,1,,,2.1399156656931373,,1,,,843.0,,1,,,1004.0,,1,,,5959.0,,1,,
ACTAR,0.5,0.5957150340492404,,1,,,0.4679308538501833,,1,,,1137.8110260457258,,1,,,0.17780464641845906,,1,,,1.0503122039889456,,1,,,-2.0022543860608644,,1,,,2.227832978610267,,1,,,913.0,,1,,,994.0,,1,,,5121.0,,1,,
DST_WOA,0.1,0.9123390014258611,,1,,,0.8938970787523126,,1,,,1549.279822178554,,1,,,0.11628283950298365,,1,,,0.3440542000335167,,1,,,1.1887974367555065,,1,,,1.1019688283993245,,1,,,688.0,,1,,,1237.0,,1,,,4748.0,,1,,
DST_WOA,0.2,0.8348665634392932,,1,,,0.7929456234629748,,1,,,1467.4390401799485,,1,,,0.1280431758673358,,1,,,1.2916344460727425,,1,,,2.797389925877325,,1,,,2.22915061475748,,1,,,654.0,,1,,,1443.0,,1,,,6473.0,,1,,
DST_WOA,0.3,0.7508792814241654,,1,,,0.6879497862669769,,1,,,1388.3133955320002,,1,,,0.1409901275491821,,1,,,1.053818132310247,,1,,,5.321863341683808,,1,,,4.181607932463239,,1,,,713.0,,1,,,1533.0,,1,,,5285.0,,1,,
DST_WOA,0.4,0.6832844878473121,,1,,,0.60062342719261,,1,,,1320.2588200726184,,1,,,0.15526144286147314,,1,,,2.067863031657091,,1,,,5.320484609229292,,1,,,3.965265349323388,,1,,,755.0,,1,,,1658.0,,1,,,6516.0,,1,,
DST_WOA,0.5,0.6134086281432741,,1,,,0.4961633750263298,,1,,,1223.677546239326,,1,,,0.17218706565284933,,1,,,4.051651947019463,,1,,,5.393284249146935,,1,,,5.316858242768497,,1,,,778.0,,1,,,1681.0,,1,,,5755.0,,1,,
SHEER,0.1,0.9092108234007914,,1,,,0.8783377499970292,,1,,,1531.0784013881346,,1,,,0.11757851812157728,,1,,,0.0,,1,,,0.0,,1,,,0.0,,1,,,1286.0,,1,,,1295.0,,1,,,4884.0,,1,,
SHEER,0.2,0.8242206456681995,,1,,,0.7681233101472049,,1,,,1427.5061275758599,,1,,,0.13096252786227974,,1,,,0.0,,1,,,0.0,,1,,,0.0,,1,,,1292.0,,1,,,1304.0,,1,,,8096.0,,1,,
SHEER,0.3,0.7430488974113135,,1,,,0.6615757712480965,,1,,,1318.1625841806958,,1,,,0.14714307400379506,,1,,,0.0,,1,,,0.0,,1,,,0.0,,1,,,1326.0,,1,,,1341.0,,1,,,8936.0,,1,,
SHEER,0.4,0.6694413574970081,,1,,,0.5626495982219183,,1,,,1253.56318381099,,1,,,0.16167217353828472,,1,,,0.0,,1,,,0.0,,1,,,0.0,,1,,,1349.0,,1,,,1364.0,,1,,,8080.0,,1,,
SHEER,0.5,0.5895231999349771,,1,,,0.46243408820750403,,1,,,1161.0583681466692,,1,,,0.18185609651012494,,1,,,0.0,,1,,,0.0,,1,,,0.0,,1,,,1362.0,,1,,,1382.0,,1,,,7193.0,,1,,
TFSM_DPC,0.1,0.9198818190287334,,1,,,0.8995062484195957,,1,,,1396.6249393756182,,1,,,0.11822798362244824,,1,,,1.1736547072799253,,1,,,-8.781618360667597,,1,,,-0.5523674828078695,,1,,,676.0,,1,,,1060.0,,1,,,6144.0,,1,,
TFSM_DPC,0.2,0.823793309141522,,1,,,0.7740343987672117,,1,,,1328.9830315176346,,1,,,0.13100740696043087,,1,,,-0.051847345601374606,,1,,,-6.901763442902609,,1,,,-0.034268655991676056,,1,,,632.0,,1,,,1115.0,,1,,,5369.0,,1,,
TFSM_DPC,0.3,0.7490149069502469,,1,,,0.6732695594379036,,1,,,1264.903806972816,,1,,,0.14428132279072717,,1,,,0.8029094127880665,,1,,,-4.040379984004994,,1,,,1.944876598808909,,1,,,710.0,,1,,,1137.0,,1,,,6613.0,,1,,
TFSM_DPC,0.4,0.6828367144469912,,1,,,0.5848927508467039,,1,,,1198.598739249509,,1,,,0.15786656646626585,,1,,,2.000975410313366,,1,,,-4.384656894148908,,1,,,2.3539035745800074,,1,,,693.0,,1,,,1175.0,,1,,,6695.0,,1,,
TFSM_DPC,0.5,0.5947695296724407,,1,,,0.47476996627263496,,1,,,1094.0601752591522,,1,,,0.18150153236314254,,1,,,0.8899276123555788,,1,,,-5.770441411525451,,1,,,0.19496962366760684,,1,,,783.0,,1,,,1335.0,,1,,,7620.0,,1,,
TRAIL,0.1,0.9197452388074584,,1,,,0.904464552796889,,1,,,1476.869988544306,,1,,,0.11783976799967477,,1,,,1.1586328644069832,,1,,,-3.5405380152108035,,1,,,-0.22219184445524398,,1,,,657.0,,1,,,929.0,,1,,,4223.0,,1,,
TRAIL,0.2,0.8317922940349097,,1,,,0.7957066107127211,,1,,,1443.6743803186732,,1,,,0.12904307811720353,,1,,,0.9186433762007784,,1,,,1.132622300562014,,1,,,1.4656480570493513,,1,,,452.0,,1,,,932.0,,1,,,4336.0,,1,,
TRAIL,0.3,0.7556574263833459,,1,,,0.7005824614388955,,1,,,1401.9737729246142,,1,,,0.14077108640107341,,1,,,1.6968639635909444,,1,,,6.358182954799263,,1,,,4.330470629257954,,1,,,562.0,,1,,,973.0,,1,,,4732.0,,1,,
TRAIL,0.4,0.690768053074764,,1,,,0.6179637662669049,,1,,,1354.1719391193822,,1,,,0.15307707083542657,,1,,,3.1857451498806144,,1,,,8.025822440200336,,1,,,5.316377280486551,,1,,,560.0,,1,,,1121.0,,1,,,5323.0,,1,,
TRAIL,0.5,0.6206617774441301,,1,,,0.5289407326134242,,1,,,1290.4202982566087,,1,,,0.16913146631931522,,1,,,5.281993569139853,,1,,,11.14172496912731,,1,,,6.997087496652199,,1,,,690.0,,1,,,1130.0,,1,,,5365.0,,1,,
