algo,pdr_slope_mean,pdr_slope_std,n,pdr_slope_ci95
ACTAR,-0.7666271365289619,,1,
DST_WOA,-0.7494428221571547,,1,
SHEER,-0.79415453510282,,1,
TFSM_DPC,-0.7911811734071166,,1,
TRAIL,-0.7391911636868028,,1,
