algo,p_pdr_vs_SHEER,p_bits_per_joule_vs_SHEER,p_overhead_ratio_vs_SHEER
ACTAR,0.46238387080114585,1.5464259097549328e-12,6.8952088209770804e-15
DST_WOA,1.5914559331086156e-08,1.0693847927143646e-15,1.3896130890282e-16
TFSM_DPC,0.6231922642775234,2.4225989107103027e-21,1.7196534143297937e-05
TRAIL,8.999946245906168e-34,0.006973959596418087,5.087718964698527e-10
