algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed,ratio
SHEER,SHEER,1264,1275,6686,1277,6634,83371,0.9204279665591153,0.0795720334408847,0.9775075908622959,0.9439375743577554,0.0006511883708618435,45909.06371522584,2.153305414298534,2.8104245901172313,1.0,1767,4178,6,0,0,35475400,6686,44,0.1
ACTAR,ACTAR,783,955,3582,985,6450,80557,0.9199324701763968,0.08006752982360321,0.9669127073016044,0.9448008544223404,0.0006743782868860131,82754.88553880513,2.9092685650474595,3.878661918297598,1.6617458539679113,869,5133,5,0,0,34212200,3582,44,0.1
TFSM_DPC,TFSM_DPC,596,1044,4710,1125,6180,75180,0.9177972865123704,0.08220271348762964,0.9749420289855072,0.9498300433771479,0.0007194529143699599,58598.72611464968,2.5685774946921445,3.5730698950052244,1.8339855072463769,1003,4225,10,0,0,32222800,4710,44,0.1
DST_WOA,DST_WOA,699,1328,5558,1718,6903,83517,0.9173461690434283,0.08265383095657175,0.9750828830239904,0.9529191857335402,0.0006514839865519427,55137.81935948183,1.9926232457718605,5.021968333933071,1.2364841934894406,779,3743,8,0,0,35471200,5558,44,0.1
TRAIL,TRAIL,451,933,9226,1233,3674,76219,0.9517967960744697,0.04820320392553035,0.9949686401543869,0.9851396660862879,0.0006887786926248462,31452.417082159114,2.046173856492521,2.001766761261986,1.2536081053139432,2399,690,10,0,0,33524800,9226,44,0.1
SHEER,SHEER,1271,1282,10908,1287,5544,82290,0.9326285089318265,0.06737149106817353,0.9793735178380633,0.9588055468802125,0.0006512036194737629,28143.014301430143,1.699028236156949,2.1115144847818113,1.0,2958,2896,9,0,0,36593600,10908,45,0.1
ACTAR,ACTAR,788,912,9245,1513,5743,80631,0.9287742927658097,0.0712257072341903,0.9760041662215575,0.9568526280862337,0.0006673598275002534,32401.51433207139,1.7008112493239589,2.2239436199279368,1.6491694263433394,2545,4139,7,0,0,35056000,9245,45,0.1
TFSM_DPC,TFSM_DPC,564,1022,6458,1044,6899,74878,0.9078634578915035,0.09213654210849653,0.9681960605481105,0.9379814177415934,0.0007254248836224517,42105.29575720037,2.1872096624341903,2.7753633947220786,1.8628399947042469,1581,5371,8,0,0,32527000,6458,45,0.1
DST_WOA,DST_WOA,658,1270,10333,1828,5708,82591,0.9308883534525554,0.06911164654744462,0.9853023425204531,0.968876775202396,0.0006500373463808819,29762.12135875351,1.5362431046162779,3.179521920061939,1.2668860476308157,2297,2294,10,0,0,36024200,10333,45,0.1
TRAIL,TRAIL,781,942,13900,1102,3198,75832,0.957827829939867,0.04217217006013296,0.9967646006002698,0.9889504527247079,0.000688049878842867,20901.87050359712,1.7066906474820145,1.5692052258933664,1.274774898807721,3956,415,10,0,0,34790600,13900,45,0.1
SHEER,SHEER,1266,1277,3212,611,8162,84040,0.9028795811518324,0.09712041884816758,0.9618071114156936,0.9293105925115039,0.0006586558825494369,94493.1506849315,3.547011207970112,4.574763164917275,1.0,776,5447,5,0,0,35748400,3212,46,0.1
ACTAR,ACTAR,821,920,4194,3389,7221,80270,0.9100411112495328,0.0899588887504672,0.9655710550452437,0.9353528866945332,0.00068410733867605,69670.00476871722,2.6301859799713876,3.492190571840067,1.6500294322988678,960,6077,5,0,0,33925800,4194,46,0.1
TFSM_DPC,TFSM_DPC,552,998,4926,1004,6558,74472,0.911940058008379,0.08805994199162104,0.9686368053714992,0.9409838609778621,0.0007349602496035311,55147.38124238733,2.5125862768980918,3.2647116047067684,1.860308625614748,1042,4768,8,0,0,32031600,4926,46,0.1
DST_WOA,DST_WOA,660,1238,6813,1074,6961,82197,0.9153132109444384,0.0846867890555616,0.9805678132808762,0.9520408367313823,0.0006641980964893637,44172.02407162777,1.8005284015852048,4.171975145555069,1.2483917273645595,1109,3964,7,0,0,35038200,6813,46,0.1
TRAIL,TRAIL,592,914,8414,1261,4338,76019,0.9429353188018785,0.05706468119812147,0.9926061299368033,0.9791758293170125,0.0006971958464724041,34077.014499643454,2.136082719277395,2.17953581085121,1.3175876452616453,2114,1132,10,0,0,33643200,8414,46,0.1
SHEER,SHEER,1339,1347,3193,1351,7084,82748,0.9143906801372843,0.0856093198627157,0.9719946077394798,0.9385583684359725,0.0006605090252540195,94787.34732226747,3.751331036642656,4.502345905477759,1.0,703,4590,8,0,0,35357400,3193,47,0.1
ACTAR,ACTAR,821,929,3428,1462,6403,81796,0.9217198885031053,0.07828011149689473,0.9743212234557584,0.949081370646447,0.0006628155738630613,87973.16219369895,2.968786464410735,4.421395474582465,1.6325918851882801,805,4588,8,0,0,34579400,3428,47,0.1
TFSM_DPC,TFSM_DPC,606,1092,3087,3087,6296,74848,0.9158828559213339,0.0841171440786661,0.9697747695180301,0.9411323545425431,0.0007252992685989384,88826.69258179462,3.6579203109815355,4.405304232624446,1.8354679659236783,611,5119,7,0,0,31943800,3087,47,0.1
DST_WOA,DST_WOA,647,1554,5622,2177,5932,82791,0.9283496998466017,0.07165030015339835,0.9857661431972833,0.962374962236937,0.0006502258647547557,54684.453930985415,2.0588758448950553,4.938553895410884,1.242938367660261,881,2803,9,0,0,35260400,5622,47,0.1
