algo,auc_norm_mean,auc_norm_std,n,auc_norm_ci95
ACTAR,0.7507074440645616,0.005352626250711413,5,0.004691783772658296
DST_WOA,0.7612140919704574,0.004768728925183222,5,0.004179975200847843
SHEER,0.7529094045888131,0.005456943411389917,5,0.004783221795557081
TFSM_DPC,0.7549363335429117,0.008145493780478779,5,0.007139840098953301
TRAIL,0.7898877396380781,0.002816799024214482,5,0.002469033206062674
